Timestamp,Status,T1_Feed,T2_Mid,T3_Nozzle,T_Motor,RPM_Main,RPM_Feed
21:16:46,READY,20.0,20.0,20.0,20.0,0,0
21:16:46,READY,20.0,20.0,20.0,20.0,0,0
21:16:46,READY,20.0,20.0,20.0,20.0,0,0
21:16:46,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:47,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:48,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:49,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:50,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:51,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:52,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:53,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:54,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:55,READY,20.0,20.0,20.0,20.0,0,0
21:16:56,READY,20.0,20.0,20.0,20.0,0,0
21:16:56,READY,20.0,20.0,20.0,20.0,0,0
21:16:56,READY,20.0,20.0,20.0,20.0,0,0
21:16:56,READY,20.0,20.0,20.0,20.0,0,0
